date,close,open,high,low,displayed_volume,reported_volume
2017-11-01,326.78,327.50,328.03,325.31,602.24K,602240
2017-11-02,335.57,327.95,335.57,327.35,969.00K,969000
2017-11-03,333.86,333.56,335.84,332.07,620.78K,620780
2017-11-06,334.39,334.49,335.65,333.93,535.06K,535060
2017-11-07,333.57,335.21,335.21,332.92,560.06K,560060
2017-11-08,334.08,334.05,334.21,333.08,635.56K,635560
2017-11-09,335.28,333.65,335.28,333.13,551.24K,551240
2017-11-10,331.89,335.10,335.47,331.58,672.70K,672700
2017-11-13,333.08,332.13,333.38,331.70,319.75K,319750
2017-11-14,333.34,332.35,333.62,332.14,260.21K,260210
2017-11-15,332.26,332.60,333.31,332.11,505.47K,505470
