date,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,price_adjustment_factor,terminal_session_status
2017-06-20,WFM,43,43.18,42.74,42.78,13167524,0,1,42.817581899599,42.996818288946,42.558684892765,42.598515201508,13167524,0.995757718595325,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-21,WFM,42.8,43.31,42.75,43.26,13492860,0,1,42.61843035588,43.126266792364,42.568642469951,43.076478906434,13492860,0.995757718595331,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-22,WFM,43.08,43.29,42.92,43.2,7558524,0,1,42.897242517087,43.106351637992,42.737921282112,43.016733443318,7558524,0.995757718595324,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-23,WFM,43.45,43.84,42.88,42.945,12844472,0,1,43.265672872967,43.654018383219,42.698090973368,42.762815225077,12844472,0.995757718595343,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-26,WFM,42.52,42.9,42.5,42.69,8565089,0,1,42.339618194674,42.71800612774,42.319703040302,42.508897006835,8565089,0.995757718595339,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-27,WFM,42.6,42.78,42.5,42.56,6408692,0,1,42.419278812161,42.598515201508,42.319703040302,42.379448503417,6408692,0.995757718595324,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-28,WFM,42.4,42.52,42.16,42.25,6760444,0.18,1,42.4,42.52,42.16,42.25,6760444,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-29,WFM,42.11,42.24,42,42.07,6582863,0,1,42.11,42.24,42,42.07,6582863,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-06-30,WFM,42.04,42.29,42.02,42.11,7578076,0,1,42.04,42.29,42.02,42.11,7578076,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-03,WFM,42.05,42.27,42.01,42.04,1891700,0,1,42.05,42.27,42.01,42.04,1891700,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-05,WFM,42.03,42.15,41.97,41.99,4380008,0,1,42.03,42.15,41.97,41.99,4380008,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-06,WFM,41.95,42.1067,41.95,42.01,5378838,0,1,41.95,42.1067,41.95,42.01,5378838,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-07,WFM,41.97,42.2,41.955,42,6181396,0,1,41.97,42.2,41.955,42,6181396,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-10,WFM,41.98,42.03,41.84,41.85,7953221,0,1,41.98,42.03,41.84,41.85,7953221,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-11,WFM,41.85,42.28,41.85,41.94,9297178,0,1,41.85,42.28,41.85,41.94,9297178,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
2017-07-12,WFM,41.98,42,41.89,41.94,9656700,0,1,41.98,42,41.89,41.94,9656700,1,OBSERVED_BEFORE_DISPUTED_TERMINAL_DATE
