date,count,events
2026-07-01,504,['temporary_spin_off']
2026-07-02,503,['temporary_spin_off_exit']
2026-07-06,503,[]
2026-07-07,503,[]
2026-07-08,503,[]
2026-07-09,503,[]
2026-07-10,503,[]
2026-07-13,503,[]
2026-07-14,503,[]
2026-07-15,503,[]
2026-07-16,503,[]
2026-07-17,503,[]
2026-07-20,503,[]
2026-07-21,503,[]
2026-07-22,503,[]
2026-07-23,503,[]
2026-07-24,503,[]
2026-07-27,503,[]
2026-07-28,503,[]
2026-07-29,503,[]
2026-07-30,503,[]
2026-07-31,503,[]
2026-08-03,503,[]
2026-08-04,503,[]
2026-08-05,503,['index_replacement']
2026-08-06,503,[]
2026-08-07,503,[]
2026-08-10,503,[]
2026-08-11,503,[]
2026-08-12,503,[]
2026-08-13,503,[]
2026-08-14,503,[]
2026-08-17,503,[]
2026-08-18,503,"['index_replacement', 'surviving_issuer_ticker_change']"
2026-08-19,503,[]
2026-08-20,503,[]
2026-08-21,503,[]
2026-08-24,503,[]
2026-08-25,503,[]
2026-08-26,503,[]
2026-08-27,503,[]
2026-08-28,503,[]
2026-08-31,503,[]
2026-09-01,503,[]
2026-09-02,503,[]
2026-09-03,503,[]
2026-09-04,503,[]
