ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,Date,Open,High,Low,Close,Volume,Name
YHOO,2017-06-12,53.79,54.55,52.6,53.12,57480339.0,0.0,1.0,53.79,54.55,52.6,53.12,57480339.0,2017-06-12,53.79,54.55,52.6,53.12,57753270,AABA
YHOO,2017-06-13,53.65,54.08,52.0,52.005,152590970.0,0.0,1.0,53.65,54.08,52.0,52.005,152590970.0,2017-06-13,53.65,54.08,52.0,52.0,157375730,AABA
YHOO,2017-06-14,52.42,54.26,52.16,52.63,65466397.0,0.0,1.0,52.42,54.26,52.16,52.63,65466397.0,2017-06-14,52.42,54.26,52.16,52.63,72068964,AABA
YHOO,2017-06-15,52.17,52.76,51.645,52.58,65808136.0,0.0,1.0,52.17,52.76,51.645,52.58,65808136.0,2017-06-15,52.17,52.76,51.64,52.58,72688419,AABA
YHOO,2017-06-16,52.79,53.3,51.9,52.5892,251032146.0,0.0,1.0,52.79,53.3,51.9,52.5892,251032146.0,2017-06-16,52.79,53.3,51.9,52.58,269377149,AABA
,,,,,,,,,,,,,,2017-06-19,54.0,55.03,53.8,54.46,39430343,AABA
,,,,,,,,,,,,,,2017-06-20,54.54,54.9,53.79,53.81,47512882,AABA
,,,,,,,,,,,,,,2017-06-21,53.94,55.17,53.89,55.09,28731684,AABA
,,,,,,,,,,,,,,2017-06-22,54.75,55.45,54.42,54.56,17258904,AABA
,,,,,,,,,,,,,,2017-06-23,54.49,54.99,54.45,54.73,13065566,AABA
