Date,Open,High,Low,Close,Volume,Name
2017-06-19,54.0,55.03,53.8,54.46,39430343,AABA
2017-06-20,54.54,54.9,53.79,53.81,47512882,AABA
2017-06-21,53.94,55.17,53.89,55.09,28731684,AABA
2017-06-22,54.75,55.45,54.42,54.56,17258904,AABA
2017-06-23,54.49,54.99,54.45,54.73,13065566,AABA
2017-06-26,55.38,55.6,53.97,54.31,22718129,AABA
2017-06-27,54.44,54.73,53.53,53.64,17023615,AABA
2017-06-28,54.09,55.1,53.76,54.95,14675936,AABA
2017-06-29,54.49,54.92,53.13,54.3,11962959,AABA
2017-06-30,54.33,54.73,54.08,54.48,8826060,AABA
2017-07-03,55.08,55.25,54.04,54.45,4559540,AABA
2017-07-05,54.5,55.84,54.23,55.62,8817551,AABA
2017-07-06,55.05,55.2,54.41,54.53,5978306,AABA
2017-07-07,54.65,54.91,54.31,54.55,2776117,AABA
2017-07-10,54.28,54.98,54.27,54.8,4164390,AABA
2017-07-11,54.76,55.35,54.59,55.25,10200759,AABA
2017-07-12,55.66,56.57,55.66,56.34,5836111,AABA
2017-07-13,56.44,56.68,56.06,56.46,3806322,AABA
2017-07-14,56.54,57.41,56.53,57.23,4420255,AABA
2017-07-17,57.68,57.88,57.13,57.51,6905806,AABA
2017-07-18,57.13,58.74,56.73,58.48,7126711,AABA
2017-07-19,59.27,59.33,58.19,58.36,8682713,AABA
2017-07-20,58.46,58.58,58.02,58.45,8756962,AABA
2017-07-21,58.19,58.4,57.76,58.16,8832362,AABA
2017-07-24,58.28,58.5,58.02,58.15,3671434,AABA
2017-07-25,57.98,58.36,57.86,58.07,3264422,AABA
2017-07-26,57.95,59.03,57.93,58.9,5443708,AABA
2017-07-27,59.61,60.22,57.56,58.43,8395031,AABA
2017-07-28,58.11,59.64,57.98,59.2,5871045,AABA
2017-07-31,59.7,59.89,58.07,58.4,6738130,AABA
2017-08-01,58.6,58.8,58.11,58.5,4164450,AABA
2017-08-02,58.95,59.25,56.9,57.66,5846199,AABA
2017-08-03,57.87,58.33,57.13,58.15,4726578,AABA
2017-08-04,58.43,58.57,58.01,58.51,7330487,AABA
2017-08-07,58.85,60.16,58.76,60.03,5540180,AABA
2017-08-08,59.77,60.44,59.62,59.86,4207240,AABA
2017-08-09,59.23,59.95,59.07,59.77,3071198,AABA
2017-08-10,59.17,59.51,57.87,58.03,4420250,AABA
2017-08-11,57.78,58.23,56.84,57.92,5552460,AABA
2017-08-14,58.7,59.02,58.5,58.87,7409532,AABA
2017-08-15,59.28,60.14,58.79,59.99,7863461,AABA
2017-08-16,60.43,60.85,60.21,60.65,7640557,AABA
2017-08-17,63.05,63.46,62.09,62.2,11943624,AABA
2017-08-18,62.36,63.7,62.06,63.07,13009004,AABA
2017-08-21,63.15,64.0,62.9,63.6,4594092,AABA
2017-08-22,63.76,65.52,63.76,65.42,5627242,AABA
2017-08-23,65.01,66.0,64.64,65.82,4131526,AABA
2017-08-24,66.06,66.2,65.34,65.5,4055765,AABA
2017-08-25,65.41,65.56,64.26,64.51,5941278,AABA
2017-08-28,64.43,64.43,63.13,63.53,5567391,AABA
2017-08-29,62.3,63.72,62.1,63.17,3590107,AABA
2017-08-30,63.65,64.58,63.63,64.16,5288699,AABA
2017-08-31,64.5,64.76,63.84,64.08,3676518,AABA
2017-09-01,64.17,64.38,63.86,64.05,2191331,AABA
2017-09-05,63.53,64.3,63.28,63.86,3277825,AABA
2017-09-06,63.71,64.28,62.9,63.32,4875988,AABA
2017-09-07,63.56,64.18,63.17,64.02,3944152,AABA
2017-09-08,63.72,64.34,63.5,63.58,3298320,AABA
2017-09-11,64.69,65.26,64.4,65.14,5464293,AABA
2017-09-12,65.3,65.63,65.06,65.36,6672110,AABA
2017-09-13,65.4,66.71,65.4,66.52,10760848,AABA
2017-09-14,66.26,66.9,65.72,66.08,11463558,AABA
2017-09-15,66.39,66.66,66.02,66.41,8589611,AABA
2017-09-18,67.0,67.28,66.56,67.11,5323750,AABA
2017-09-19,67.3,67.61,67.07,67.43,4478702,AABA
2017-09-20,67.37,67.59,66.4,66.92,11434011,AABA
2017-09-21,67.0,67.22,66.06,66.59,4123943,AABA
2017-09-22,66.45,67.39,66.23,67.34,8523288,AABA
2017-09-25,67.0,67.0,64.21,64.96,18001335,AABA
2017-09-26,65.08,65.82,64.24,64.45,6654370,AABA
2017-09-27,65.13,66.27,65.01,65.8,7289458,AABA
2017-09-28,65.9,66.19,65.54,65.58,7214806,AABA
2017-09-29,65.64,66.61,65.64,66.24,5452375,AABA
2017-10-02,66.6,66.98,66.29,66.51,20424040,AABA
2017-10-03,67.19,67.93,66.96,67.81,5709615,AABA
2017-10-04,67.79,68.22,67.48,67.66,4289737,AABA
2017-10-05,67.75,68.1,66.96,67.72,3451654,AABA
2017-10-06,67.49,68.08,67.32,67.85,1939061,AABA
2017-10-09,67.85,69.06,67.75,68.74,2763916,AABA
2017-10-10,68.51,69.51,68.51,68.93,5689191,AABA
2017-10-11,68.75,69.38,68.71,69.22,4251750,AABA
2017-10-12,69.0,69.23,67.8,67.91,4110988,AABA
2017-10-13,68.17,68.18,67.38,67.52,3380943,AABA
2017-10-16,67.91,68.13,67.36,68.04,4523200,AABA
2017-10-17,68.0,68.1,66.63,66.78,4264365,AABA
2017-10-18,67.2,68.04,66.98,67.79,5361842,AABA
2017-10-19,66.97,67.54,66.65,67.45,4271282,AABA
2017-10-20,67.65,68.36,67.45,67.51,7149442,AABA
2017-10-23,67.63,68.0,66.4,66.51,3959123,AABA
2017-10-24,66.69,67.2,66.4,66.61,3667001,AABA
2017-10-25,66.66,67.04,65.19,65.4,4550598,AABA
2017-10-26,65.5,66.01,65.07,65.57,4967301,AABA
2017-10-27,66.6,67.73,65.87,67.52,7607822,AABA
2017-10-30,68.04,68.96,67.94,68.86,7764554,AABA
2017-10-31,69.5,70.27,68.96,70.12,10680460,AABA
2017-11-01,70.85,71.38,69.84,70.59,9883635,AABA
2017-11-02,72.06,72.47,69.84,70.51,10054593,AABA
2017-11-03,71.01,71.4,69.84,70.23,6321515,AABA
2017-11-06,70.27,71.96,70.27,71.71,7130108,AABA
2017-11-07,72.2,72.47,71.62,72.22,9164838,AABA
2017-11-08,72.0,72.2,71.09,71.16,7363665,AABA
2017-11-09,70.46,70.68,68.77,70.19,10054905,AABA
2017-11-10,70.6,70.74,69.94,70.55,4439901,AABA
2017-11-13,70.66,71.39,70.01,70.27,5256892,AABA
2017-11-14,70.0,70.15,69.1,69.52,5194145,AABA
2017-11-15,68.23,69.55,68.04,69.43,9144226,AABA
2017-11-16,69.8,71.22,69.8,70.75,7510504,AABA
2017-11-17,70.81,71.37,70.74,71.02,14298554,AABA
2017-11-20,71.6,72.53,71.43,71.95,14666339,AABA
2017-11-21,72.66,73.14,72.31,72.85,9514310,AABA
2017-11-22,73.02,73.25,72.46,72.6,6721660,AABA
2017-11-24,72.47,73.18,72.31,72.93,3356343,AABA
2017-11-27,72.82,73.12,71.92,72.07,7630057,AABA
2017-11-28,72.25,72.48,71.49,71.98,11936842,AABA
2017-11-29,71.61,71.7,68.51,70.36,15976247,AABA
2017-11-30,70.31,70.84,69.37,70.06,19215640,AABA
2017-12-01,69.8,71.25,69.47,70.1,19712943,AABA
2017-12-04,71.06,71.34,68.16,68.31,15533597,AABA
2017-12-05,67.1,69.38,66.62,68.13,11963099,AABA
2017-12-06,67.78,69.62,67.36,69.41,11646582,AABA
2017-12-07,69.75,70.64,69.48,70.22,7084564,AABA
2017-12-08,71.0,71.63,70.82,71.25,7021125,AABA
2017-12-11,71.7,72.09,71.15,71.53,7359312,AABA
