field,date,wiki,sheepb,absolute_relative_difference
open,2017-05-17,241.74,245.05999755859375,0.013733753448307073
open,2017-12-15,237.0,235.0,0.008438818565400852
open,2017-12-18,243.79,241.94000244140625,0.007588488283332917
open,2017-01-31,227.26,228.72999572753903,0.0064683434284038555
open,2017-12-20,244.85,246.2100067138672,0.0055544484944545225
high,2017-05-17,242.63,245.05999755859375,0.010015239494678196
high,2015-08-24,257.01,255.0,0.007820707365472135
high,2018-03-23,222.93,221.47999572753903,0.006504303020952618
high,2014-08-01,262.29,262.5,0.0008006405124099114
high,2016-10-25,206.4024,206.4900054931641,0.00042444028346610985
low,2017-06-21,256.21,256.6300048828125,0.0016392993357501329
low,2015-03-02,278.76,278.510009765625,0.0008967937809405413
low,2014-08-01,258.45,258.2300109863281,0.0008511859689374068
low,2013-03-05,158.255,158.25999450683594,3.155986752978457e-05
low,2013-04-02,159.305,159.3000030517578,3.136717769181008e-05
close,2014-08-01,261.56,259.30999755859375,0.00860224209132232
close,2017-10-25,235.945,235.82000732421875,0.000529753441612435
close,2017-04-25,263.05,263.010009765625,0.00015202522096569027
close,2014-01-17,256.89,256.8900146484375,5.702221783643324e-08
close,2018-02-01,257.11,257.1099853515625,5.697342586596932e-08
volume,2017-12-27,206281.0,284600.0,0.3796714190836772
volume,2017-05-03,793010.0,1046700.0,0.3199076934717091
volume,2018-03-08,321194.0,381700.0,0.18837836323218982
volume,2017-10-25,318767.0,376800.0,0.18205460414660246
volume,2017-06-29,451173.0,526900.0,0.1678447070192588
