date,current_260_complete,current_missing_count,local_sheepb_260_dates_complete,2017_11_08_inside_window,interpretation
2013-12-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-01-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-02-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-03-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-04-22,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-05-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-06-18,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-07-17,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-08-14,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-09-12,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-10-10,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-11-07,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2014-12-08,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-01-07,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-02-05,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-03-06,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-04-06,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-05-04,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-06-02,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-06-30,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-07-29,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-08-26,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-09-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-10-22,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-11-19,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2015-12-18,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-01-20,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-02-18,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-03-17,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-04-15,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-05-13,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-06-13,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-07-12,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-08-09,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-09-07,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-10-05,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-11-02,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-12-01,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2016-12-30,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-01-31,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-03-01,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-03-29,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-04-27,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-05-25,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-06-23,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-07-24,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-08-21,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-09-19,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-10-17,True,0,True,False,"calendar availability only, not approved eligibility or ranking"
2017-11-14,False,1,True,True,"calendar availability only, not approved eligibility or ranking"
2017-12-13,False,1,True,True,"calendar availability only, not approved eligibility or ranking"
2018-01-12,False,1,True,True,"calendar availability only, not approved eligibility or ranking"
2018-02-12,False,1,True,True,"calendar availability only, not approved eligibility or ranking"
2018-03-13,False,1,True,True,"calendar availability only, not approved eligibility or ranking"
2018-04-11,False,11,True,True,"calendar availability only, not approved eligibility or ranking"
2018-05-09,False,31,True,True,"calendar availability only, not approved eligibility or ranking"
2018-06-07,False,51,True,True,"calendar availability only, not approved eligibility or ranking"
2018-07-06,False,71,True,True,"calendar availability only, not approved eligibility or ranking"
2018-08-03,False,91,True,True,"calendar availability only, not approved eligibility or ranking"
