date,wiki_open,sheepb_open,open_absolute_relative_difference,wiki_high,sheepb_high,high_absolute_relative_difference,wiki_low,sheepb_low,low_absolute_relative_difference,wiki_close,sheepb_close,close_absolute_relative_difference,wiki_volume,sheepb_volume,volume_absolute_relative_difference
2012-12-12,144.85,144.85000610351562,4.21368009373424e-08,146.96,146.9600067138672,4.56849971186557e-08,144.3,144.3000030517578,2.1148702789020035e-08,144.8,144.8000030517578,2.107567542708466e-08,607100.0,607100.0,0.0
2012-12-13,144.22,144.22000122070312,8.464173584243895e-09,144.79,144.7899932861328,4.636968842230971e-08,143.38,143.3800048828125,3.4055046116421295e-08,144.0,144.0,0.0,444700.0,444700.0,0.0
2012-12-14,144.11,144.11000061035156,4.235317208056699e-09,145.03,145.02999877929688,8.416900842966868e-09,143.832,143.8300018310547,1.3892381009128485e-05,144.1,144.10000610351562,4.2356111285002385e-08,401300.0,401300.0,0.0
2012-12-17,144.21,144.2100067138672,4.655618313087473e-08,145.5,145.5,0.0,143.73,143.72999572753906,2.972560309011385e-08,145.46,145.4600067138672,4.615610604830067e-08,307100.0,307100.0,0.0
2012-12-18,145.57,145.57000732421875,5.031406713484898e-08,146.83,146.8300018310547,1.2470575905254577e-08,145.28,145.27999877929688,8.402416873387608e-09,145.86,145.86000061035156,4.184502522264211e-09,543000.0,543000.0,0.0
2012-12-19,145.22,145.22000122070312,8.405888429763309e-09,148.41,148.41000366210938,2.4675624210601654e-08,145.22,145.22000122070312,8.405888429763309e-09,146.98,146.97999572753906,2.9068314977287457e-08,532000.0,532000.0,0.0
2012-12-20,147.09,147.08999633789062,2.4897065631357407e-08,148.3,148.3000030517578,2.057827241941368e-08,147.04,147.0399932861328,4.566014133455809e-08,148.02,148.02000427246094,2.886407868274432e-08,384200.0,384200.0,0.0
2012-12-21,146.04,146.0399932861328,4.5972796347548694e-08,146.9,146.89999389648438,4.1548778972888556e-08,145.06,145.05999755859375,1.6830320248573116e-08,146.31,146.30999755859375,1.6686530379672604e-08,1168700.0,1168700.0,0.0
2012-12-24,145.88,145.8800048828125,3.347143207044212e-08,146.714,146.7100067138672,2.7218166860798476e-05,145.66,145.66000366210938,2.514148955690132e-08,146.62,146.6199951171875,3.3302499646836736e-08,139800.0,139800.0,0.0
2012-12-26,146.25,146.25,0.0,146.62,146.6199951171875,3.3302499646836736e-08,144.22,144.22000122070312,8.464173584243895e-09,145.05,145.0500030517578,2.103935048403116e-08,281200.0,281200.0,0.0
2012-12-27,145.17,145.1699981689453,1.2613175393028087e-08,145.22,145.22000122070312,8.405888429763309e-09,142.59,142.58999633789062,2.5682792448300518e-08,144.38,144.3800048828125,3.3819175015992187e-08,478200.0,478200.0,0.0
