date,role,issuer_amount,nominal_close,expected_factor_step,observed_factor_step,total_return_identity_error
2016-11-01,old_WIKI_recorded_cash,0.52,201.74,1.002577575096659,1.002577575096658,1.2212453270876722e-15
2017-02-13,old_WIKI_recorded_cash,0.52,227.81,1.002282603924323,1.0022826039243402,1.7319479184152442e-14
2017-05-11,old_WIKI_recorded_cash,0.52,251.1,1.0020708880923934,1.0020708880923896,3.6637359812630166e-15
2017-08-10,old_WIKI_recorded_cash,0.52,222.21,1.0023401287070788,1.0023401287070612,1.6986412276764895e-14
2017-11-13,old_prefix_unrecorded_event,0.52,224.2,1.0023193577163247,1.0023193577163247,0.0
2018-02-13,old_prefix_unrecorded_event,0.57,246.26,1.0023146268171852,1.0023146268171852,2.220446049250313e-16
2018-05-11,tail_event,0.57,208.0500030517578,1.00273972598721,1.00273972598721,2.220446049250313e-16
2018-08-13,tail_event,0.57,227.36000061035156,1.0025070372909475,1.0025070372909475,2.220446049250313e-16
2018-11-13,tail_event,0.57,205.27000427246097,1.0027768304581093,1.0027768304581093,0.0
2019-02-20,tail_event,0.63,173.4199981689453,1.0036327990234797,1.0036327990234797,1.1102230246251565e-16
2019-05-13,tail_event,0.63,142.32000732421875,1.0044266439543164,1.0044266439543164,2.220446049250313e-16
2019-09-03,tail_event,0.63,122.0500030517578,1.0051618187976024,1.0051618187976024,0.0
2019-11-13,tail_event,0.63,107.18000030517578,1.005877962289664,1.005877962289664,2.220446049250313e-16
2020-02-13,tail_event,0.63,103.48999786376952,1.0060875448159667,1.0060875448159667,1.1102230246251565e-16
2020-05-13,tail_event,0.21,37.060001373291016,1.0056664865682208,1.0056664865682208,1.1102230246251565e-16
