ticker,security_class,source_observed_date,observed_date_semantics,event_role,source_observed_quarter,wiki_cash_observation,issuer_confirmed_amount,amount_currency,issuer_amount_evidence_scope,amount_source_ids,issuer_declaration_date,issuer_record_date,issuer_payment_date,issuer_payment_date_evidence_scope,actual_paid_per_share_quarter_supported,primary_ex_date,primary_ex_date_explicitly_verified,secondary_explicit_ex_date,secondary_ex_date_source_ids,date_inferred_from_factor_or_record_date,amount_inferred_from_factor,proposed_application_amount,approved_for_application
ADS,Alliance Data Systems Corporation ordinary common stock,2016-11-01,WIKI_ex_dividend_field_and_SheepB_factor_step,old_WIKI_recorded_cash,2016Q4,0.52,0.52,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P17M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2017-02-13,WIKI_ex_dividend_field_and_SheepB_factor_step,old_WIKI_recorded_cash,2017Q1,0.52,0.52,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_ACTUAL_PAYMENT_STATED,"[""P17M""]",2017-01-26,2017-02-15,2017-03-17,ACTUAL_PAYMENT_DATE_STATED_IN_ANNUAL_REPORT,True,,False,2017-02-13,"[""S17Q1_EX""]",False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2017-05-11,WIKI_ex_dividend_field_and_SheepB_factor_step,old_WIKI_recorded_cash,2017Q2,0.52,0.52,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_ACTUAL_PAYMENT_STATED,"[""P17M""]",2017-04-20,2017-05-15,2017-06-19,ACTUAL_PAYMENT_DATE_STATED_IN_ANNUAL_REPORT,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2017-08-10,WIKI_ex_dividend_field_and_SheepB_factor_step,old_WIKI_recorded_cash,2017Q3,0.52,0.52,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_ACTUAL_PAYMENT_STATED,"[""P17M""]",2017-07-20,2017-08-14,2017-09-19,ACTUAL_PAYMENT_DATE_STATED_IN_ANNUAL_REPORT,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2017-11-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,old_prefix_unrecorded_event,2017Q4,0.0,0.52,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_ACTUAL_PAYMENT_STATED,"[""P17M""]",2017-10-19,2017-11-14,2017-12-19,ACTUAL_PAYMENT_DATE_STATED_IN_ANNUAL_REPORT,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2018-02-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,old_prefix_unrecorded_event,2018Q1,0.0,0.57,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_LATER_QUARTER_PAID_TOTAL,"[""P17M"", ""P18Q1"", ""P19M""]",2018-01-25,2018-02-14,2018-03-20,STATED_PAYABLE_DATE_QUARTER_AMOUNT_LATER_CONFIRMED_PAID,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2018-05-11,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2018Q2,,0.57,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2018-08-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2018Q3,,0.57,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2018-11-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2018Q4,,0.57,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2019-02-20,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2019Q1,,0.63,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2019-05-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2019Q2,,0.63,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_AND_QUARTER_PAID_TOTAL,"[""P19M"", ""P19Q2_RELEASE""]",2019-04-25,2019-05-14,2019-06-18,STATED_PAYABLE_DATE_QUARTER_AMOUNT_LATER_CONFIRMED_PAID,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2019-09-03,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2019Q3,,0.63,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2019-11-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2019Q4,,0.63,USD_per_nominal_common_share,ISSUER_QUARTER_PER_SHARE_TOTAL_MATCHING_ONE_OBSERVED_EVENT,"[""P19M""]",,,,EXACT_PAYMENT_DATE_NOT_OBTAINED,True,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2020-02-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2020Q1,,0.63,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_ONLY_ACTUAL_PAYMENT_NOT_OBTAINED,"[""P19M""]",2020-01-30,2020-02-14,2020-03-19,STATED_PAYABLE_DATE_ACTUAL_PAYMENT_NOT_OBTAINED,False,,False,,[],False,False,,False
ADS,Alliance Data Systems Corporation ordinary common stock,2020-05-13,SheepB_factor_step_date_NOT_independently_confirmed_ex_date,tail_event,2020Q2,,0.21,USD_per_nominal_common_share,INDIVIDUAL_COMMON_DECLARATION_ONLY_ACTUAL_PAYMENT_NOT_OBTAINED,"[""P20Q2_SEC"", ""P20Q2_RELEASE""]",2020-04-23,2020-05-14,2020-06-18,STATED_PAYABLE_DATE_ACTUAL_PAYMENT_NOT_OBTAINED,False,,False,,[],False,False,,False
