declaration_date,ex_date,record_date,payment_date,cash_per_nominal_share,currency,scope,amount_source,ex_date_source,date_source_grade,amount_not_inferred_from_factor
2017-11-15,2017-11-24,2017-11-27,2017-12-12,0.37,USD,prefix_missing_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2018-02-21,2018-03-02,2018-03-05,2018-03-20,0.37,USD,prefix_missing_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2018-05-08,2018-05-17,2018-05-18,2018-06-04,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2018-08-22,2018-08-31,2018-09-04,2018-09-19,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2018-11-14,2018-11-23,2018-11-26,2018-12-11,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2019-02-27,2019-03-08,2019-03-11,2019-03-26,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2019-05-23,2019-05-31,2019-06-03,2019-06-18,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2019-08-20,2019-08-29,2019-08-30,2019-09-16,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2019-11-21,2019-11-27,2019-11-29,2019-12-16,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
2020-02-27,2020-03-09,2020-03-10,2020-03-25,0.37,USD,extension_dividend,"Published Mergent table hosted by Nordstrom, corroborated by SEC quarterly/annual dividend disclosures and saved issuer releases",Mergent historical table on issuer website; date agrees with source adjustment-factor event,ISSUER_HOSTED_THIRD_PARTY_TABLE_NOT_INDIVIDUAL_SEC_EXDATE_ANNOUNCEMENT,True
