ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,vendor_factor,vendor_factor_step,inferred_cash_yahoo_convention,wiki_factor,wiki_factor_step
HFC,2017-09-27,34.53,34.7799,33.7154,34.68,2548442.0,0.0,1.0,34.274680708044,34.52273291508,33.466103965942,34.423571588618,2548442.0,2017-09-27,34.529998779296875,34.779998779296875,33.720001220703125,34.68000030517578,30.930524826049805,2552200.0,HFC,HollyFrontier,0.8918836376548016,1.7736895818742937e-07,6.138738663701958e-06,0.9926058704907152,
HFC,2017-09-28,35.12,36.07,34.84,35.99,2965872.0,0.0,1.0,34.860318171633,35.8032937486,34.582388527896,35.72388527896,2965872.0,2017-09-28,35.119998931884766,36.06999969482422,34.84000015258789,35.9900016784668,32.09888458251953,2969800.0,HFC,HollyFrontier,0.8918833866497049,-2.814325614775015e-07,-9.760084067007141e-06,0.9926058704906917,-2.375877272697835e-14
HFC,2017-09-29,35.99,36.46,35.6605,35.97,3370128.0,0.0,1.0,35.72388527896,36.190410038091,35.396821644634,35.704033161551,3370128.0,2017-09-29,35.9900016784668,36.459999084472656,35.65999984741211,35.970001220703125,32.0810546875,3373300.0,HFC,HollyFrontier,0.8918836140888208,2.550099253983973e-07,9.177805301638e-06,0.9926058704907146,2.3092638912203256e-14
HFC,2017-10-02,35.69,36.435,35.49,36.1,2494427.0,0.0,1.0,35.426103517813,36.165594891329,35.227582343715,35.833071924714,2494427.0,2017-10-02,35.689998626708984,36.439998626708984,35.4900016784668,36.099998474121094,32.196998596191406,2499800.0,HFC,HollyFrontier,0.8918836553212705,4.6230751449272134e-08,1.6629201101883667e-06,0.9926058704906924,-2.2315482794965646e-14
HFC,2017-10-03,36.19,36.68,35.7,36.47,2231260.0,0.0,1.0,35.922406453058,36.408783329599,35.436029576518,36.200336096796,2231260.0,2017-10-03,36.189998626708984,36.68000030517578,35.70000076293945,36.470001220703125,32.52699279785156,2239800.0,HFC,HollyFrontier,0.8918835127262564,-1.5988073465145192e-07,-5.771695198776912e-06,0.9926058704907047,1.2434497875801753e-14
HFC,2017-10-04,36.47,36.83,36.07,36.79,1930589.0,0.0,1.0,36.200336096796,36.557674210173,35.8032937486,36.517969975353,1930589.0,2017-10-04,36.470001220703125,36.83000183105469,36.06999969482422,36.790000915527344,32.81239318847656,1938800.0,HFC,HollyFrontier,0.8918834566983656,-6.281974052058104e-08,-2.29103615923325e-06,0.9926058704907039,-7.771561172376096e-16
HFC,2017-10-05,36.88,37.0,35.53,35.85,3763307.0,0.0,1.0,36.607304503697,36.726417208156,35.267286578535,35.584920457092,3763307.0,2017-10-05,36.880001068115234,37.0,35.529998779296875,35.849998474121094,31.97402000427246,3771600.0,HFC,HollyFrontier,0.8918834411486357,-1.7434710453123614e-08,-6.414230257859037e-07,0.9926058704907111,7.327471962526033e-15
HFC,2017-10-06,34.52,35.73,34.47,35.42,3554084.0,0.0,1.0,34.264754649339,35.465807752633,34.215124355814,35.158099932781,3554084.0,2017-10-06,34.52000045776367,35.72999954223633,34.470001220703125,35.41999816894531,31.590513229370117,3554100.0,HFC,HollyFrontier,0.8918835364894875,1.0689833152000006e-07,3.832304611922707e-06,0.9926058704907114,2.220446049250313e-16
HFC,2017-10-09,35.79,36.245,35.54,36.18,1937350.0,0.0,1.0,35.525364104862,35.976999775935,35.27721263724,35.912480394354,1937350.0,2017-10-09,35.790000915527344,36.2400016784668,35.540000915527344,36.18000030517578,32.26834487915039,1937400.0,HFC,HollyFrontier,0.891883488307605,-5.402261671338948e-08,-1.913481091244953e-06,0.992605870490713,1.7763568394002505e-15
HFC,2017-10-10,36.56,36.61,35.89,36.19,2106462.0,0.0,1.0,36.28967062514,36.339300918665,35.624624691911,35.922406453058,2106462.0,2017-10-10,36.560001373291016,36.61000061035156,35.88999938964844,36.189998626708984,32.27726745605469,2107900.0,HFC,HollyFrontier,0.891883633071856,1.6231296240398763e-07,5.872482077331753e-06,0.9926058704906882,-2.5091040356528538e-14
HFC,2017-10-11,36.2,36.53,35.9,36.52,1860922.0,0.0,1.0,35.932332511763,36.259892449025,35.634550750616,36.24996639032,1860922.0,2017-10-11,36.20000076293945,36.529998779296875,35.900001525878906,36.52000045776367,32.571590423583984,1864100.0,HFC,HollyFrontier,0.8918836258300126,-8.11971789804744e-09,-2.938525835974982e-07,0.9926058704906898,1.7763568394002505e-15
HFC,2017-10-12,36.24,36.49,35.8,36.32,1874831.0,0.0,1.0,35.972036746583,36.220188214206,35.535290163567,36.051445216222,1874831.0,2017-10-12,36.2400016784668,36.4900016784668,35.79999923706055,36.31999969482422,32.39320755004883,1874800.0,HFC,HollyFrontier,0.8918834752816648,-1.6879819675352792e-07,-6.164511260669363e-06,0.9926058704906938,3.9968028886505635e-15
HFC,2017-10-13,36.575,36.7,36.28,36.38,1304487.0,0.0,1.0,36.304559713197,36.428635447009,36.011740981403,36.111001568452,1304487.0,2017-10-13,36.58000183105469,36.70000076293945,36.279998779296875,36.380001068115234,32.44672775268555,1304500.0,HFC,HollyFrontier,0.8918836393636901,1.8397249168522478e-07,6.681879612002768e-06,0.992605870490709,1.532107773982716e-14
HFC,2017-10-16,36.39,36.48,35.705,36.09,1681415.0,0.0,1.0,36.120927627157,36.210262155501,35.44099260587,35.823145866009,1681415.0,2017-10-16,36.38999938964844,36.47999954223633,35.709999084472656,36.09000015258789,32.18808364868164,1681400.0,HFC,HollyFrontier,0.8918837216013019,9.220666030707036e-08,3.3544780894562143e-06,0.9926058704906898,-1.9317880628477724e-14
HFC,2017-10-17,36.22,36.58,36.06,36.32,1550911.0,0.0,1.0,35.952184629173,36.30952274255,35.793367689895,36.051445216222,1550911.0,2017-10-17,36.220001220703125,36.58000183105469,36.060001373291016,36.31999969482422,32.39320755004883,1550900.0,HFC,HollyFrontier,0.8918834752816648,-2.7617909281740793e-07,-9.967306254589943e-06,0.9926058704906938,3.9968028886505635e-15
HFC,2017-10-18,36.33,36.515,35.93,36.09,1914923.0,0.0,1.0,36.061371274927,36.245003360968,35.664328926731,35.823145866009,1914923.0,2017-10-18,36.33000183105469,36.52000045776367,35.93000030517578,36.09000015258789,32.18808364868164,1915900.0,HFC,HollyFrontier,0.8918837216013019,2.761791690897297e-07,1.0030824566845085e-05,0.9926058704906898,-3.9968028886505635e-15
HFC,2017-10-19,35.68,36.14,35.49,36.13,1156748.0,0.0,1.0,35.416177459108,35.872776159534,35.227582343715,35.862850100829,1156748.0,2017-10-19,35.68000030517578,36.13999938964844,35.4900016784668,36.130001068115234,32.2237548828125,1158700.0,HFC,HollyFrontier,0.8918835851142556,-1.5303233258379123e-07,-5.522937747726838e-06,0.9926058704907001,1.0436096431476471e-14
HFC,2017-10-20,36.46,36.84,35.95,36.71,2491908.0,0.0,1.0,36.190410038091,36.567600268877,35.684181044141,36.438561505714,2491908.0,2017-10-20,36.459999084472656,36.84000015258789,35.95000076293945,36.709999084472656,32.741050720214844,2496700.0,HFC,HollyFrontier,0.8918837247823149,1.5659897956155078e-07,5.6579204123414496e-06,0.9926058704907109,1.0880185641326534e-14
HFC,2017-10-23,36.65,36.84,36.22,36.27,1405198.0,0.0,1.0,36.379005153484,36.567600268877,35.952184629173,36.001814922698,1405198.0,2017-10-23,36.650001525878906,36.84000015258789,36.220001220703125,36.27000045776367,32.348609924316406,1412100.0,HFC,HollyFrontier,0.8918833613466943,-4.074921545749177e-07,-1.4959042714439809e-05,0.9926058704907086,-2.3314683517128287e-15
HFC,2017-10-24,35.62,36.5082,35.62,36.4,1663188.0,0.0,1.0,35.356621106879,36.238253641049,35.356621106879,36.130853685862,1663188.0,2017-10-24,35.619998931884766,36.5099983215332,35.619998931884766,36.400001525878906,32.464569091796875,1663200.0,HFC,HollyFrontier,0.8918837288706128,4.1207621359617974e-07,1.4945998298821928e-05,0.9926058704907144,5.773159728050814e-15
HFC,2017-10-25,36.37,36.9304,35.86,36.31,2029809.0,0.0,1.0,36.101075509747,36.65733183957,35.594846515797,36.041519157517,2029809.0,2017-10-25,36.369998931884766,36.93000030517578,35.86000061035156,36.29999923706055,32.37537384033203,2548200.0,HFC,HollyFrontier,0.8918835956139177,-1.494103892829557e-07,-5.438539210165356e-06,0.9926058704906913,-2.3314683517128287e-14
HFC,2017-10-26,36.27,36.46,35.71,36.1,1962475.0,0.0,1.0,36.001814922698,36.190410038091,35.445955635223,35.833071924714,1962475.0,2017-10-26,36.27000045776367,36.459999084472656,35.709999084472656,36.099998474121094,32.196998596191406,1965100.0,HFC,HollyFrontier,0.8918836553212705,6.694523024819432e-08,2.4301116457299167e-06,0.9926058704906924,1.1102230246251565e-15
HFC,2017-10-27,35.94,36.36,35.71,36.27,1951818.0,0.0,1.0,35.674254985436,36.091149451042,35.445955635223,36.001814922698,1951818.0,2017-10-27,35.939998626708984,36.36000061035156,35.709999084472656,36.27000045776367,32.348609924316406,1951800.0,HFC,HollyFrontier,0.8918833613466943,-3.296109020167748e-07,-1.1898956983598193e-05,0.9926058704907086,1.6431300764452317e-14
HFC,2017-10-30,36.37,37.26,36.33,36.91,3320449.0,0.0,1.0,36.101075509747,36.984494734484,36.061371274927,36.637082679812,3320449.0,2017-10-30,36.369998931884766,37.2599983215332,36.33000183105469,36.90999984741211,32.91941833496094,3324400.0,HFC,HollyFrontier,0.8918834589827026,1.0947172301989383e-07,3.970539009151599e-06,0.9926058704907074,-1.2212453270876722e-15
HFC,2017-10-31,36.71,37.42,36.41,36.95,3720211.0,0.0,1.0,36.438561505714,37.143311673762,36.140779744566,36.676786914631,3720211.0,2017-10-31,36.709999084472656,37.41999816894531,36.40999984741211,36.95000076293945,32.955108642578125,3758300.0,HFC,HollyFrontier,0.8918838420060826,4.294545168370689e-07,1.5851159344425764e-05,0.99260587049069,-1.7430501486614958e-14
HFC,2017-11-01,37.74,39.7675,37.625,39.65,5262921.0,0.0,1.0,37.460945552319,39.473453954739,37.346795877213,39.356822764956,5262921.0,2017-11-01,37.7400016784668,39.77000045776367,37.630001068115234,39.650001525878906,35.363182067871094,5335600.0,HFC,HollyFrontier,0.8918834982841078,-3.8538872282334324e-07,-1.4240119087091346e-05,0.9926058704906936,3.552713678800501e-15
HFC,2017-11-02,39.95,41.34,39.42,40.25,4361721.0,0.0,1.0,39.654604526104,41.034326686086,39.128523414743,39.952386287251,4361721.0,2017-11-02,39.95000076293945,41.34000015258789,39.41999816894531,40.25,35.89830780029297,4399000.0,HFC,HollyFrontier,0.8918834236097632,-8.372656823407709e-08,-3.319758835565932e-06,0.9926058704907081,1.4654943925052066e-14
HFC,2017-11-03,40.47,40.71,40.04,40.14,2279376.0,0.0,1.0,40.170759578759,40.408984987676,39.743939054448,39.843199641497,2279376.0,2017-11-03,40.470001220703125,40.709999084472656,40.040000915527344,40.13999938964844,35.800209045410156,2284000.0,HFC,HollyFrontier,0.8918836469798888,2.504476701581382e-07,1.0080516199079126e-05,0.9926058704907076,-5.551115123125783e-16
HFC,2017-11-06,40.39,42.23,40.34,42.07,2944674.0,0.0,1.0,40.091351109119,41.917745910822,40.041720815595,41.758928971544,2944674.0,2017-11-06,40.38999938964844,42.22999954223633,40.34000015258789,42.06999969482422,37.52153396606445,3030600.0,HFC,HollyFrontier,0.8918833904978765,-2.8757339942675486e-07,-1.1543199397513255e-05,0.992605870490706,-1.5543122344752192e-15
HFC,2017-11-07,41.97,42.47,41.74,42.33,2435876.0,0.0,1.0,41.659668384495,42.15597131974,41.431369034282,42.017006497871,2435876.0,2017-11-07,41.970001220703125,42.470001220703125,41.7400016784668,42.33000183105469,37.7534294128418,2477100.0,HFC,HollyFrontier,0.891883481685669,1.022418327778496e-07,4.301313434715828e-06,0.9926058704906923,-1.3877787807814457e-14
,2017-11-08,,,,,,,,,,,,,2017-11-08,42.2599983215332,42.4900016784668,41.31999969482422,42.31999969482422,37.74451446533203,2557300.0,HFC,HollyFrontier,0.8918836185612786,1.5346803983184998e-07,6.496301410780839e-06,,
HFC,2017-11-09,41.99,42.2,41.33,42.2,2870667.0,0.0,1.0,41.679520501905,41.887967734708,41.024400627381,41.887967734708,2870667.0,2017-11-09,41.9900016784668,42.20000076293945,41.33000183105469,42.20000076293945,37.63748550415039,2884400.0,HFC,HollyFrontier,0.8918835266278972,-1.0307777775775406e-07,-4.362251969605372e-06,0.9926058704907108,
HFC,2017-11-10,42.19,42.5,41.86,42.05,2244672.0,0.0,1.0,41.878041676003,42.185749495855,41.550481738741,41.739076854134,2244672.0,2017-11-10,42.189998626708984,42.5,41.86000061035156,42.04999923706055,37.50369644165039,2244700.0,HFC,HollyFrontier,0.891883403617204,-1.3792237385512607e-07,-5.820325083071894e-06,0.9926058704907016,-9.325873406851315e-15
HFC,2017-11-13,42.08,42.6,41.68,41.85,1658301.0,0.0,1.0,41.768855030249,42.285010082904,41.371812682052,41.540555680036,1658301.0,2017-11-13,42.08000183105469,42.599998474121094,41.68000030517578,41.849998474121094,37.325321197509766,1669100.0,HFC,HollyFrontier,0.8918834542034866,5.6718493013363513e-08,2.3850124525530154e-06,0.9926058704907049,3.3306690738754696e-15
HFC,2017-11-14,41.88,43.27,41.7,42.84,3134348.0,0.0,1.0,41.570333856151,42.950056016133,41.391664799462,42.523235491822,3134348.0,2017-11-14,41.880001068115234,43.27000045776367,41.70000076293945,42.84000015258789,38.208290100097656,3167100.0,HFC,HollyFrontier,0.8918835192345246,7.29142779487546e-08,3.0514621978754284e-06,0.9926058704907096,4.6629367034256575e-15
HFC,2017-11-15,42.47,43.09,42.1,42.89,2473236.0,0.0,1.0,42.15597131974,42.771386959444,41.788707147659,42.572865785346,2473236.0,2017-11-15,42.470001220703125,43.09000015258789,42.099998474121094,42.88999938964844,38.25288009643555,2474900.0,HFC,HollyFrontier,0.8918834376497551,-9.147469115511342e-08,-3.9187761445138436e-06,0.9926058704906972,-1.2545520178264269e-14
HFC,2017-11-16,42.74,44.1,42.62,43.8,2310139.0,0.0,1.0,42.423974904773,43.77391888864,42.304862200314,43.476137127493,2310139.0,2017-11-16,42.7400016784668,44.099998474121094,42.619998931884766,43.79999923706055,39.06450653076172,2352600.0,HFC,HollyFrontier,0.8918837262834475,3.236226622238547e-07,1.3880171294930596e-05,0.9926058704907078,1.0658141036401503e-14
HFC,2017-11-17,43.72,44.48,43.72,44.41,2732362.0,0.0,1.0,43.396728657853,44.151109119426,43.396728657853,44.081626708492,2732362.0,2017-11-17,43.720001220703125,44.47999954223633,43.720001220703125,44.40999984741211,39.608551025390625,2732400.0,HFC,HollyFrontier,0.8918836109318006,-1.293348488307089e-07,-5.664867009526905e-06,0.9926058704907005,-7.327471962526033e-15
