ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
RSH,1982-01-04,34.38,35.0,33.75,35.0,319300.0,0.0,1.0,5.731694584549508,5.835058477580942,5.626663531953051,5.835058477580942,1277200.0
RSH,1982-01-05,34.0,34.62,33.38,33.62,347800.0,0.0,1.0,5.66834252107863,5.771706414110063,5.5649786280471965,5.604990457607751,1391200.0
RSH,1982-01-06,33.75,34.12,33.25,33.88,440300.0,0.0,1.0,5.626663531953051,5.688348435858907,5.543305553701895,5.648336606298352,1761200.0
RSH,1982-01-07,34.12,34.62,33.62,34.62,479400.0,0.0,1.0,5.688348435858907,5.771706414110063,5.604990457607751,5.771706414110063,1917600.0
RSH,1982-01-08,35.5,35.88,35.0,35.5,421600.0,0.0,1.0,5.918416455832099,5.981768519302978,5.835058477580942,5.918416455832099,1686400.0
RSH,1982-01-11,34.25,35.12,33.38,33.38,363700.0,0.0,1.0,5.710021510204208,5.85506439236122,5.5649786280471965,5.5649786280471965,1454800.0
RSH,1982-01-12,33.0,33.62,32.25,32.62,399800.0,0.0,1.0,5.501626564576317,5.604990457607751,5.376589597199582,5.438274501105438,1599200.0
RSH,1982-01-13,32.62,33.12,32.12,32.12,370200.0,0.0,1.0,5.438274501105438,5.521632479356594,5.354916522854281,5.354916522854281,1480800.0
RSH,1982-01-14,32.75,33.25,32.25,33.0,262400.0,0.0,1.0,5.459947575450739,5.543305553701895,5.376589597199582,5.501626564576317,1049600.0
RSH,1982-01-15,33.5,33.75,33.12,33.5,277100.0,0.0,1.0,5.584984542827473,5.626663531953051,5.521632479356594,5.584984542827473,1108400.0
RSH,1982-01-18,33.88,34.88,32.75,34.5,601900.0,0.0,1.0,5.648336606298352,5.815052562800665,5.459947575450739,5.751700499329786,2407600.0
RSH,1982-01-19,34.12,34.75,33.38,33.38,271200.0,0.0,1.0,5.688348435858907,5.793379488455364,5.5649786280471965,5.5649786280471965,1084800.0
RSH,1982-01-20,32.88,33.38,32.38,33.0,996600.0,0.0,1.0,5.48162064979604,5.5649786280471965,5.398262671544884,5.501626564576317,3986400.0
RSH,1982-01-21,33.12,33.75,32.38,33.25,188000.0,0.0,1.0,5.521632479356594,5.626663531953051,5.398262671544884,5.543305553701895,752000.0
RSH,1982-01-22,33.0,33.5,32.38,32.38,244200.0,0.0,1.0,5.501626564576317,5.584984542827473,5.398262671544884,5.398262671544884,976800.0
RSH,1982-01-25,32.62,33.12,32.0,32.75,246100.0,0.0,1.0,5.438274501105438,5.521632479356594,5.334910608074004,5.459947575450739,984400.0
RSH,1982-01-26,32.88,33.25,32.5,32.62,269600.0,0.0,1.0,5.48162064979604,5.543305553701895,5.41826858632516,5.438274501105438,1078400.0
RSH,1982-01-27,33.25,33.75,32.75,33.5,271300.0,0.0,1.0,5.543305553701895,5.626663531953051,5.459947575450739,5.584984542827473,1085200.0
RSH,1982-01-28,34.88,35.75,33.88,35.75,667600.0,0.0,1.0,5.815052562800665,5.960095444957677,5.648336606298352,5.960095444957677,2670400.0
RSH,1982-01-29,36.0,36.5,35.38,35.75,528200.0,0.0,1.0,6.001774434083255,6.085132412334411,5.898410541051821,5.960095444957677,2112800.0
RSH,1982-02-01,34.88,35.5,34.25,34.75,395100.0,0.0,1.0,5.815052562800665,5.918416455832099,5.710021510204208,5.793379488455364,1580400.0
RSH,1982-02-02,35.25,35.75,34.62,35.25,384900.0,0.0,1.0,5.87673746670652,5.960095444957677,5.771706414110063,5.87673746670652,1539600.0
RSH,1982-02-03,35.12,35.5,34.75,34.75,171000.0,0.0,1.0,5.85506439236122,5.918416455832099,5.793379488455364,5.793379488455364,684000.0
RSH,1982-02-04,34.62,35.25,34.0,34.88,425400.0,0.0,1.0,5.771706414110063,5.87673746670652,5.66834252107863,5.815052562800665,1701600.0
RSH,1982-02-05,35.38,36.0,34.75,35.5,396300.0,0.0,1.0,5.898410541051821,6.001774434083255,5.793379488455364,5.918416455832099,1585200.0
RSH,1982-02-08,34.12,35.0,33.12,33.12,260900.0,0.0,1.0,5.688348435858907,5.835058477580942,5.521632479356594,5.521632479356594,1043600.0
RSH,1982-02-09,33.38,33.88,32.75,32.75,530600.0,0.0,1.0,5.5649786280471965,5.648336606298352,5.459947575450739,5.459947575450739,2122400.0
RSH,1982-02-10,33.25,33.62,32.88,33.38,346100.0,0.0,1.0,5.543305553701895,5.604990457607751,5.48162064979604,5.5649786280471965,1384400.0
RSH,1982-02-11,33.5,33.88,33.12,33.62,257200.0,0.0,1.0,5.584984542827473,5.648336606298352,5.521632479356594,5.604990457607751,1028800.0
RSH,1982-02-12,33.5,34.0,33.0,33.0,128300.0,0.0,1.0,5.584984542827473,5.66834252107863,5.501626564576317,5.501626564576317,513200.0
RSH,1982-02-16,33.12,33.75,32.38,33.38,408000.0,0.0,1.0,5.521632479356594,5.626663531953051,5.398262671544884,5.5649786280471965,1632000.0
RSH,1982-02-17,33.88,34.38,33.38,33.75,266400.0,0.0,1.0,5.648336606298352,5.731694584549508,5.5649786280471965,5.626663531953051,1065600.0
RSH,1982-02-18,34.25,34.75,33.75,34.0,232900.0,0.0,1.0,5.710021510204208,5.793379488455364,5.626663531953051,5.66834252107863,931600.0
RSH,1982-02-19,33.25,33.88,32.62,33.0,419300.0,0.0,1.0,5.543305553701895,5.648336606298352,5.438274501105438,5.501626564576317,1677200.0
RSH,1982-02-22,32.5,33.62,31.25,31.25,503500.0,0.0,1.0,5.41826858632516,5.604990457607751,5.209873640697269,5.209873640697269,2014000.0
RSH,1982-02-23,31.38,31.88,30.75,31.38,787800.0,0.0,1.0,5.231546715042571,5.314904693293727,5.1265156624461135,5.231546715042571,3151200.0
RSH,1982-02-24,31.38,32.12,30.62,32.0,348800.0,0.0,1.0,5.231546715042571,5.354916522854281,5.104842588100813,5.334910608074004,1395200.0
RSH,1982-02-25,32.12,32.38,31.75,31.75,328100.0,0.0,1.0,5.354916522854281,5.398262671544884,5.293231618948426,5.293231618948426,1312400.0
RSH,1982-02-26,32.25,32.5,31.88,32.12,168200.0,0.0,1.0,5.376589597199582,5.41826858632516,5.314904693293727,5.354916522854281,672800.0
