source,date,open,high,low,close,volume
wiki,2017-11-07,67.1,67.37,66.65,67.16,690021.0
wiki,2017-11-09,62.3,64.76,61.62,64.06,4525590.0
wiki,2018-03-27,59.17,59.73,58.495,58.94,1378732.0
canonical,2017-11-07,67.1,67.37,66.65,67.16,690021.0
canonical,2017-11-09,62.3,64.76,61.62,64.06,4525590.0
canonical,2018-03-27,59.17,59.73,58.495,58.94,1378732.0
sheepb,2017-11-07,67.0999984741211,67.37000274658203,66.6500015258789,67.16000366210938,696200.0
sheepb,2017-11-08,66.9800033569336,67.37000274658203,66.68000030517578,67.0999984741211,922200.0
sheepb,2017-11-09,62.29999923706055,64.76000213623047,61.619998931884766,64.05999755859375,4637100.0
sheepb,2018-03-27,59.16999816894531,59.72999954223633,58.5,58.939998626708984,1388400.0
sheepb,2018-03-28,58.7599983215332,59.20000076293945,58.0,58.75,646900.0
sheepb,2018-11-27,44.95000076293945,46.72999954223633,44.25,46.369998931884766,1884000.0
sheepb,2018-11-30,48.209999084472656,48.93000030517578,47.58000183105469,48.06999969482422,23210300.0
sheepb,2018-12-03,48.88999938964844,48.88999938964844,46.79999923706055,47.52000045776367,2077300.0
sheepb,2018-12-27,35.93000030517578,36.720001220703125,35.33000183105469,36.720001220703125,1222600.0
sheepb,2018-12-28,36.790000915527344,37.119998931884766,36.209999084472656,36.599998474121094,935300.0
iex,2017-11-07,67.1,67.37,66.65,67.16,696193.0
iex,2017-11-08,66.98,67.37,66.6804,67.1,922226.0
iex,2017-11-09,62.3,64.76,61.62,64.06,4637105.0
