field,date,wiki,sheepb,absolute_relative_difference
open,2017-06-08,80.23,78.80000305175781,0.017823718661874488
open,2008-04-22,55.0,55.63999938964844,0.011636352539062589
open,2008-07-24,59.34,60.0099983215332,0.011290837909221363
open,2008-05-16,54.19,54.79999923706055,0.011256675347122158
open,2009-02-03,48.83,48.29999923706055,0.010853998831444889
high,2018-03-13,65.2,65.1500015258789,0.0007668477625935033
high,2010-02-12,51.545,51.540000915527344,9.698485736076012e-05
high,2010-01-29,54.025,54.029998779296875,9.252715033558623e-05
high,2009-12-18,55.755,55.7599983215332,8.964795145183224e-05
high,2010-01-19,56.185,56.189998626708984,8.896728146279287e-05
low,2018-02-05,70.78,70.72000122070312,0.0008476798431319432
low,2009-06-17,49.665,49.66999816894531,0.00010063765116918866
low,2009-10-28,51.655,51.650001525878906,9.676651091072852e-05
low,2010-02-02,52.995,52.9900016784668,9.43168512728132e-05
low,2009-01-30,48.5456,48.54999923706055,9.062071661580795e-05
close,2018-02-05,70.91,70.72000122070312,0.0026794356127044505
close,2015-09-30,139.25,139.30999755859375,0.0004308621802064927
close,2018-02-08,70.53,70.55000305175781,0.0002836105452688198
close,2017-04-28,85.32,85.33999633789062,0.0002343687047658971
close,2018-02-09,70.14,70.1500015258789,0.0001425937536199129
volume,2017-06-23,1193649.0,2468300.0,1.0678608200568176
volume,2018-01-18,568389.0,737300.0,0.29717499810868975
volume,2018-02-09,729875.0,943900.0,0.29323514300393905
volume,2018-02-16,671782.0,840000.0,0.2504056375431316
volume,2018-01-12,699516.0,857500.0,0.2258475860452085
