date,open,high,low,close,volume_rounded,volume_display,change_pct,ohlc_consistent
2009-07-23,7.85,8.33,7.85,8.12,,,+3.57%,True
2009-07-24,8.02,8.35,8.02,8.35,,,+2.83%,True
2009-07-27,8.45,8.49,8.3,8.39,,,+0.48%,True
2009-07-28,8.23,8.4,8.16,8.32,,,-0.83%,True
2009-07-29,8.14,8.19,7.98,8.03,,,-3.49%,True
2009-07-30,8.24,8.49,8.22,8.35,,,+3.99%,True
2009-07-31,8.24,8.49,8.2,8.37,,,+0.24%,True
2009-08-03,8.53,8.91,8.53,8.89,,,+6.21%,True
2009-08-04,8.52,8.91,8.52,8.83,,,-0.67%,True
2009-08-05,8.81,8.85,8.45,8.53,,,-3.40%,True
2009-08-06,8.58,8.64,8.05,8.06,,,-5.51%,True
2009-08-07,8.18,8.21,8.01,8.03,,,-0.37%,True
2009-08-10,8.03,8.05,7.91,8.05,,,+0.25%,True
2009-08-11,8.01,8.01,7.87,7.95,,,-1.24%,True
2009-08-12,7.95,8.18,7.95,8.11,,,+2.01%,True
2009-08-13,8.2,8.38,8.13,8.33,,,+2.71%,True
2009-08-14,8.36,8.36,8.05,8.13,,,-2.40%,True
2009-08-17,7.68,7.74,7.54,7.61,,,-6.40%,True
2009-08-18,7.73,7.79,7.65,7.73,,,+1.58%,True
2009-08-19,7.52,7.9,7.5,7.8,,,+0.91%,True
2009-08-20,7.84,8.01,7.84,7.97,,,+2.18%,True
2009-08-21,8.12,8.3,8.08,8.22,,,+3.14%,True
2009-08-24,8.28,8.44,8.14,8.16,,,-0.73%,True
2009-08-25,8.21,8.25,7.93,7.96,,,-2.45%,True
2009-08-27,8.14,8.68,7.98,8.61,,,+8.17%,True
2009-08-28,8.79,8.82,8.32,8.52,,,-1.05%,True
2009-08-31,8.46,8.46,8.17,8.21,,,-3.64%,True
2009-09-01,8.18,8.32,7.88,7.9,,,-3.78%,True
2009-09-02,7.9,8.11,7.67,7.98,,,+1.01%,True
2009-09-03,8.11,8.16,8.04,8.11,,,+1.63%,True
2009-09-04,8.22,8.35,8.22,8.35,,,+2.96%,True
2009-09-08,8.54,8.89,8.53,8.86,,,+6.11%,True
2009-09-09,8.99,9.48,8.86,9.39,,,+5.98%,True
2009-09-10,9.62,9.97,9.35,9.88,,,+5.22%,True
2009-09-11,9.97,10.29,9.63,9.86,,,-0.20%,True
2009-09-14,9.72,9.98,9.64,9.94,,,+0.81%,True
2009-09-15,10.02,10.28,9.99,10.27,,,+3.32%,True
2009-09-16,10.45,10.63,10.35,10.47,,,+1.95%,True
2009-09-17,10.39,10.52,10.11,10.19,,,-2.67%,True
2009-09-18,10.24,10.24,9.98,10.12,,,-0.69%,True
2009-09-21,9.81,9.98,9.63,9.91,,,-2.08%,True
2009-09-22,10.19,10.42,10.11,10.25,,,+3.43%,True
2009-09-23,10.25,10.53,10.13,10.16,,,-0.88%,True
2009-09-24,10.16,10.24,9.61,9.74,,,-4.13%,True
2009-09-25,9.36,9.61,9.29,9.41,,,-3.39%,True
2009-09-28,9.48,9.72,9.36,9.68,,,+2.87%,True
2009-09-29,9.75,9.93,9.61,9.66,,,-0.21%,True
2009-09-30,9.8,9.84,9.46,9.58,,,-0.83%,True
2009-10-01,9.34,9.36,9.09,9.09,,,-5.11%,True
2009-10-02,8.97,9.3,8.92,9.02,,,-0.77%,True
2009-10-05,9.06,9.49,9.02,9.4,,,+4.21%,True
2009-10-06,9.63,9.89,9.58,9.74,,,+3.62%,True
2009-10-07,9.62,9.82,9.56,9.81,,,+0.72%,True
2009-10-08,9.95,10.35,9.91,10.21,,,+4.08%,True
2009-10-09,10.15,10.23,10.0,10.11,,,-0.98%,True
2009-10-12,10.28,10.38,10.18,10.22,,,+1.09%,True
2009-10-13,10.22,10.25,10.04,10.16,,,-0.59%,True
2009-10-14,10.37,10.55,10.24,10.52,,,+3.54%,True
2009-10-15,10.41,10.65,10.38,10.57,,,+0.48%,True
2009-10-16,10.43,10.45,10.18,10.28,,,-2.74%,True
2009-10-19,10.43,10.58,10.34,10.48,,,+1.95%,True
2009-10-20,10.61,10.61,10.26,10.42,,,-0.57%,True
2009-10-21,10.3,10.43,10.04,10.04,,,-3.65%,True
2009-10-22,10.01,10.02,9.62,9.93,,,-1.10%,True
2009-10-23,9.98,10.07,9.5,9.5,,,-4.33%,True
2009-10-26,9.64,9.8,9.24,9.25,,,-2.63%,True
2009-10-27,9.32,9.39,9.0,9.04,,,-2.27%,True
2009-10-28,9.02,9.04,8.39,8.41,,,-6.97%,True
2009-10-29,8.63,9.07,8.63,9.0,,,+7.02%,True
2009-10-30,8.96,9.0,8.52,8.61,,,-4.33%,True
2009-11-02,8.79,9.0,8.57,8.77,,,+1.86%,True
2009-11-03,8.71,8.98,8.61,8.9,,,+1.48%,True
2009-11-04,9.18,9.29,8.95,8.95,,,+0.56%,True
2009-11-05,8.96,9.43,8.95,9.43,,,+5.36%,True
2009-11-06,9.38,9.63,9.12,9.18,,,-2.65%,True
2009-11-09,9.34,9.61,9.33,9.59,,,+4.47%,True
2009-11-10,9.54,9.59,9.28,9.5,,,-0.94%,True
2009-11-11,9.64,9.64,9.41,9.51,,,+0.11%,True
2009-11-12,9.43,9.52,9.16,9.18,,,-3.47%,True
2009-11-13,9.25,9.4,9.19,9.32,,,+1.53%,True
