candidate_ex_date,candidate_cash_usd,secondary_cash_usd,secondary_declared_date,secondary_record_date,secondary_pay_date,implied_cash_diagnostic_only_NOT_APPROVED,primary_cash_usd,primary_record_date,primary_payment_window,primary_ex_date_explicit,status,applied
2017-09-14,0.16,,,,,,,,,False,WIKI_CONFLICT_NO_SECONDARY_OR_FACTOR_SUPPORT_PRIMARY_ADJUDICATION_PENDING,False
2017-11-14,0.08,0.08,2017-09-01,2017-11-15,2017-12-01,0.0800050365741033,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2018-02-14,0.08,0.08,2017-12-08,2018-02-15,2018-03-01,0.0800025860332333,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2018-05-14,0.16,0.16,2018-02-23,2018-05-15,2018-06-01,0.1599863273094981,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2018-08-14,0.16,0.16,2018-05-11,2018-08-15,2018-08-31,0.1600024877232553,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2018-11-14,0.18,0.18,2018-08-30,2018-11-15,2018-11-30,0.1799873964094826,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2019-02-14,0.18,0.18,2018-12-06,2019-02-15,2019-03-01,0.1799987988041024,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2019-05-14,0.2,0.2,2019-02-20,2019-05-15,2019-05-31,0.2000123277126663,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2019-08-14,0.2,0.2,2019-05-09,2019-08-15,2019-08-30,0.1999921104312594,0.2,2019-08-15,on or before 2019-08-30,False,PRIMARY_AMOUNT_RECORD_PAYMENT_WINDOW_VERIFIED_EXDATE_SECONDARY_AND_FACTOR,False
2019-11-14,0.2,0.2,2019-08-30,2019-11-15,2019-11-29,0.2000050515745156,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
2020-02-13,0.2,0.2,2019-12-06,2020-02-14,2020-02-28,0.1999964178497947,,,,False,SECONDARY_AND_FACTOR_CORROBORATED_PRIMARY_AMOUNT_PENDING,False
