date,cash_dividend,kind,declaration_date,record_date,pay_date,amount_evidence_level,amount_evidence_url,precise_declaration_date_evidence_level,precise_ex_date_evidence_level,precise_ex_date_explicit_in_primary,record_and_pay_dates_evidence_level,within_appended_tail,approved_for_bounded_construction
2017-11-14,0.08,ordinary_cash_dividend,2017-09-01,2017-11-15,2017-12-01,2017_annual_mirror,https://getfilings.com/sec-filings/180223/CIMAREX-ENERGY-CO_10-K/,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,False,True
2018-02-14,0.08,ordinary_cash_dividend,2017-12-08,2018-02-15,2018-03-01,2017_annual_mirror,https://getfilings.com/sec-filings/180223/CIMAREX-ENERGY-CO_10-K/,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,False,True
2018-05-14,0.16,ordinary_cash_dividend,2018-02-23,2018-05-15,2018-06-01,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300603191.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2018-08-14,0.16,ordinary_cash_dividend,2018-05-11,2018-08-15,2018-08-31,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300646842.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2018-11-14,0.18,ordinary_cash_dividend,2018-08-30,2018-11-15,2018-11-30,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-increases-quarterly-cash-dividend-300705223.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2019-02-14,0.18,ordinary_cash_dividend,2018-12-06,2019-02-15,2019-03-01,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300761703.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2019-05-14,0.2,ordinary_cash_dividend,2019-02-20,2019-05-15,2019-05-31,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300799170.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2019-08-14,0.2,ordinary_cash_dividend,2019-05-09,2019-08-15,2019-08-30,issuer_release_plus_SEC_Q2,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300846846.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
2019-11-14,0.2,ordinary_cash_dividend,2019-08-30,2019-11-15,2019-11-29,SECInfo_R36_financial_table_mirror,https://www.secinfo.com/d13kwp.hb.y.htm,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,True,True
2020-02-13,0.2,ordinary_cash_dividend,2019-12-06,2020-02-14,2020-02-28,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300970419.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True
