date,cash_dividend,kind,declaration_date,record_date,pay_date,amount_evidence_level,amount_evidence_url,precise_declaration_date_evidence_level,precise_ex_date_evidence_level,precise_ex_date_explicit_in_primary,record_and_pay_dates_evidence_level,within_appended_tail,approved_for_bounded_construction,implied_cash_diagnostic_only_NOT_APPROVED,absolute_cash_difference
2017-11-14,0.08,ordinary_cash_dividend,2017-09-01,2017-11-15,2017-12-01,2017_annual_mirror,https://getfilings.com/sec-filings/180223/CIMAREX-ENERGY-CO_10-K/,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,False,True,0.0800050365741033,5.0365741032926126e-06
2018-02-14,0.08,ordinary_cash_dividend,2017-12-08,2018-02-15,2018-03-01,2017_annual_mirror,https://getfilings.com/sec-filings/180223/CIMAREX-ENERGY-CO_10-K/,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,False,True,0.0800025860332333,2.586033233303864e-06
2018-05-14,0.16,ordinary_cash_dividend,2018-02-23,2018-05-15,2018-06-01,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300603191.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1599863273094981,1.367269050189801e-05
2018-08-14,0.16,ordinary_cash_dividend,2018-05-11,2018-08-15,2018-08-31,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300646842.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1600024877232553,2.4877232552844575e-06
2018-11-14,0.18,ordinary_cash_dividend,2018-08-30,2018-11-15,2018-11-30,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-increases-quarterly-cash-dividend-300705223.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1799873964094826,1.260359051738491e-05
2019-02-14,0.18,ordinary_cash_dividend,2018-12-06,2019-02-15,2019-03-01,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300761703.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1799987988041024,1.2011958975821635e-06
2019-05-14,0.2,ordinary_cash_dividend,2019-02-20,2019-05-15,2019-05-31,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300799170.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.2000123277126663,1.2327712666293511e-05
2019-08-14,0.2,ordinary_cash_dividend,2019-05-09,2019-08-15,2019-08-30,issuer_release_plus_SEC_Q2,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300846846.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1999921104312594,7.889568740621078e-06
2019-11-14,0.2,ordinary_cash_dividend,2019-08-30,2019-11-15,2019-11-29,SECInfo_R36_financial_table_mirror,https://www.secinfo.com/d13kwp.hb.y.htm,secondary_history,secondary_history_plus_SheepB_factor_step,False,secondary_history,True,True,0.2000050515745156,5.051574515579915e-06
2020-02-13,0.2,ordinary_cash_dividend,2019-12-06,2020-02-14,2020-02-28,issuer_release,https://www.prnewswire.com/news-releases/cimarex-energy-declares-quarterly-cash-dividend-300970419.html,issuer_release,secondary_history_plus_SheepB_factor_step,False,issuer_release,True,True,0.1999964178497947,3.5821502053223764e-06
