ticker,member_rebalance_count,first_missing_member_date,last_missing_member_date,maximum_coverage_gain_pp,candidate_cache,candidate_exists,identity_status,candidate_first_date,candidate_last_date,candidate_cache_sha256,candidate_rows,candidate_adjusted_flag,available_member_dates,candidate_coverage_gain_pp
BK,269,2005-01-03,2026-04-24,0.1981720241649178,BNY,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,0c27692a3d4e84963c3ac5d76e5881972364467ee682fb308e093b0e9a877c0f,5713.0,True,269.0,0.1981720241649178
MMC,265,2005-01-03,2025-12-29,0.19523760118251698,MRSH,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,9284059e31a30e6c88ef5ef185b135a7c3d95fff0d15348228cbe5d2911485f7,5713.0,True,265.0,0.19523760118251698
K,264,2005-01-03,2025-11-28,0.19450399543691677,,,,,,,,,,
IPG,263,2005-01-03,2025-10-30,0.19377038969131657,,,,,,,,,,
WBA,260,2005-01-03,2025-08-06,0.19157102802147155,,,,,,,,,,
HES,259,2005-01-03,2025-07-09,0.19083742227587133,,,,,,,,,,
MRO,251,2005-01-03,2024-11-13,0.18496857631106975,,,,,,,,,,
CMA,245,2005-01-03,2024-05-23,0.18056694183746855,CMA,False,NOT_YET_VALIDATED,,,,,,,
JNPR,240,2006-06-08,2025-06-09,0.17671702613965323,,,,,,,,,,
SEE,239,2005-01-03,2023-11-30,0.17616530736386735,,,,,,,,,,
ABC,235,2005-01-03,2023-08-08,0.17323088438146655,COR,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,d37d6a79219ba40d07a92cc7c16d9e5244e1ff371bffc0a57277c8afbf925d6e,5713.0,True,235.0,0.17323088438146655
PKI,232,2005-01-03,2023-05-11,0.17103006714466595,RVTY,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,3f2b680c35a39f3c40d3632d28d22557c104d9681f0c690be509442c74f0cda6,5713.0,True,232.0,0.17103006714466595
DFS,225,2007-07-20,2025-05-09,0.16558895025216852,,,,,,,,,,
CTXS,224,2005-01-03,2022-09-21,0.16516122117986434,,,,,,,,,,
ANTM,221,2005-01-03,2022-06-27,0.16296040394306377,ELV,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,5f011cefadb6098b1dc3219de3202943779ccb08e81e078015f99f0a3876d9fa,5713.0,True,221.0,0.16296040394306377
BLL,219,2005-01-03,2022-04-28,0.1614946480188189,BALL,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,a225c0ed3ef0acb5b687ddc8488fe8efa323ebd1127b7af1efae384bf8ad6566,5713.0,True,219.0,0.1614946480188189
GPS,216,2005-01-03,2022-02-01,0.15930109708755288,GAP,False,NOT_YET_VALIDATED,,,,,,,
XLNX,216,2005-01-03,2022-02-01,0.15930109708755288,,,,,,,,,,
TIF,202,2005-01-03,2020-12-21,0.14907129181920317,,,,,,,,,,
MYL,200,2005-01-03,2020-10-23,0.1476098910665818,VTRS,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,6eb38ad9141e41377422d2b6d885a52827a2b38f39ef72488ad939c8f3c16b62,5713.0,True,200.0,0.1476098910665818
ETFC,199,2005-01-03,2020-09-25,0.1468791906902711,,,,,,,,,,
CTL,198,2005-01-03,2020-08-27,0.14614849031396038,LUMN,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,c23c294003a7d5259a37ea7b744933673fced86db0fb0673382d151c09af5d13,5713.0,True,198.0,0.14614849031396038
PXD,197,2008-09-26,2024-04-25,0.1449181250402045,,,,,,,,,,
JWN,195,2005-01-03,2020-06-03,0.14395638918502832,,,,,,,,,,
AGN,194,2005-01-03,2020-05-05,0.1432256888087176,,,,,,,,,,
ARNC,192,2005-01-03,2020-03-09,0.14176428805609623,,,,,,,,,,
RTN,192,2005-01-03,2020-03-09,0.14176428805609623,,,,,,,,,,
UTX,192,2005-01-03,2020-03-09,0.14176428805609623,RTX,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,5edb54a2b5bbf756d9926af0a0fbbeee14e017c9ee78d98f720e1c64e8491b27,5713.0,True,192.0,0.14176428805609623
CBS,188,2005-01-03,2019-11-11,0.13884148655085346,,,,,,,,,,
BHGE,187,2005-01-03,2019-10-14,0.13811078617454275,,,,,,,,,,
SYMC,187,2005-01-03,2019-10-14,0.13811078617454275,GEN,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,7203b2cf6f2af6eb4f7866b7f1d8d87b483630b758ac220a23b3453136a3aceb,5713.0,True,187.0,0.13811078617454275
TMK,184,2005-01-03,2019-07-19,0.1359186850456107,GL,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,771d4f8af0d02ad90b119f945dd0ffa4106bcb0523c3e5e012e7e1de2c78f7c0,5713.0,True,184.0,0.1359186850456107
LLL,183,2005-01-03,2019-06-20,0.1351879846693,,,,,,,,,,
VAR,179,2007-02-27,2021-04-19,0.13192514355690227,,,,,,,,,,
CA,175,2005-01-03,2018-10-29,0.1293409318564805,,,,,,,,,,
PX,175,2005-01-03,2018-10-29,0.1293409318564805,,,,,,,,,,
VIAB,175,2006-01-13,2019-11-11,0.1291670069251943,,,,,,,,,,
XL,173,2005-01-03,2018-08-31,0.12787953110385908,,,,,,,,,,
MON,169,2005-01-03,2018-05-09,0.12496250588617609,,,,,,,,,,
PBCT,169,2008-11-21,2022-03-30,0.12436534425824172,,,,,,,,,,
COG,167,2008-07-02,2021-09-09,0.12295678883759596,,,,,,,,,,
BCR,164,2005-01-03,2017-12-13,0.12131622436407233,,,,,,,,,,
CELG,164,2006-11-28,2019-11-11,0.12099992324228506,,,,,,,,,,
NBL,164,2007-10-15,2020-09-25,0.12087054369879342,,,,,,,,,,
RAI,159,2005-01-03,2017-07-24,0.11766994284196858,,,,,,,,,,
AABA,157,2005-01-03,2017-05-25,0.11621143023312708,,,,,,,,,,
TGNA,157,2005-01-03,2017-05-25,0.11621143023312708,,,,,,,,,,
