annual_year,quarter,source_url,source_sha256,basis_multiplier,SEC_high,SEC_low,candidate_high_on_SEC_basis,candidate_low_on_SEC_basis,high_delta_USD,low_delta_USD,tolerance_USD,expected_sessions,complete_observed_sessions,coverage,extrema_match_within_tolerance,observed_outside_SEC_range,missing_dates
2004,2004Q1,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,20.7,8.48,20.6959991455,8.47999954224,-0.00400085449219,-4.57763672301e-07,0.011,62,62,COMPLETE,True,False,
2004,2004Q2,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,21.58,14.35,21.5799999237,15.1183996201,-7.62939436072e-08,0.768399620056,0.011,62,62,COMPLETE,False,False,
2004,2004Q3,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,24.9,18.4,24.8999996185,18.3999996185,-3.81469725141e-07,-3.81469725141e-07,0.011,64,64,COMPLETE,True,False,
2004,2004Q4,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,26.6,18.51,26.6000003815,19.2999992371,3.81469725141e-07,0.789999237061,0.011,64,64,COMPLETE,False,False,
2004,2003Q1,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,4.88,3.12,,,,,0.011,61,0,NO_DATA,,,"2003-01-02,2003-01-03,2003-01-06,2003-01-07,2003-01-08,2003-01-09,2003-01-10,2003-01-13,2003-01-14,2003-01-15,2003-01-16,2003-01-17,2003-01-21,2003-01-22,2003-01-23,2003-01-24,2003-01-27,2003-01-28,2003-01-29,2003-01-30,2003-01-31,2003-02-03,2003-02-04,2003-02-05,2003-02-06,2003-02-07,2003-02-10,2003-02-11,2003-02-12,2003-02-13,2003-02-14,2003-02-18,2003-02-19,2003-02-20,2003-02-21,2003-02-24,2003-02-25,2003-02-26,2003-02-27,2003-02-28,2003-03-03,2003-03-04,2003-03-05,2003-03-06,2003-03-07,2003-03-10,2003-03-11,2003-03-12,2003-03-13,2003-03-14,2003-03-17,2003-03-18,2003-03-19,2003-03-20,2003-03-21,2003-03-24,2003-03-25,2003-03-26,2003-03-27,2003-03-28,2003-03-31"
2004,2003Q2,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,7,4.19,,,,,0.011,63,0,NO_DATA,,,"2003-04-01,2003-04-02,2003-04-03,2003-04-04,2003-04-07,2003-04-08,2003-04-09,2003-04-10,2003-04-11,2003-04-14,2003-04-15,2003-04-16,2003-04-17,2003-04-21,2003-04-22,2003-04-23,2003-04-24,2003-04-25,2003-04-28,2003-04-29,2003-04-30,2003-05-01,2003-05-02,2003-05-05,2003-05-06,2003-05-07,2003-05-08,2003-05-09,2003-05-12,2003-05-13,2003-05-14,2003-05-15,2003-05-16,2003-05-19,2003-05-20,2003-05-21,2003-05-22,2003-05-23,2003-05-27,2003-05-28,2003-05-29,2003-05-30,2003-06-02,2003-06-03,2003-06-04,2003-06-05,2003-06-06,2003-06-09,2003-06-10,2003-06-11,2003-06-12,2003-06-13,2003-06-16,2003-06-17,2003-06-18,2003-06-19,2003-06-20,2003-06-23,2003-06-24,2003-06-25,2003-06-26,2003-06-27,2003-06-30"
2004,2003Q3,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,7.68,5.83,,,,,0.011,64,0,NO_DATA,,,"2003-07-01,2003-07-02,2003-07-03,2003-07-07,2003-07-08,2003-07-09,2003-07-10,2003-07-11,2003-07-14,2003-07-15,2003-07-16,2003-07-17,2003-07-18,2003-07-21,2003-07-22,2003-07-23,2003-07-24,2003-07-25,2003-07-28,2003-07-29,2003-07-30,2003-07-31,2003-08-01,2003-08-04,2003-08-05,2003-08-06,2003-08-07,2003-08-08,2003-08-11,2003-08-12,2003-08-13,2003-08-14,2003-08-15,2003-08-18,2003-08-19,2003-08-20,2003-08-21,2003-08-22,2003-08-25,2003-08-26,2003-08-27,2003-08-28,2003-08-29,2003-09-02,2003-09-03,2003-09-04,2003-09-05,2003-09-08,2003-09-09,2003-09-10,2003-09-11,2003-09-12,2003-09-15,2003-09-16,2003-09-17,2003-09-18,2003-09-19,2003-09-22,2003-09-23,2003-09-24,2003-09-25,2003-09-26,2003-09-29,2003-09-30"
2004,2003Q4,https://www.sec.gov/Archives/edgar/data/1011657/000101165705000014/0001011657-05-000014.txt,3de2499b4e0f686541567c24188754520d29c2dd0746eaa6bade75fd8abcb09d,8,12.04,6.7,11.1983995438,10.5024003983,-0.841600456238,3.80240039825,0.011,64,8,PARTIAL,False,False,"2003-10-01,2003-10-02,2003-10-03,2003-10-06,2003-10-07,2003-10-08,2003-10-09,2003-10-10,2003-10-13,2003-10-14,2003-10-15,2003-10-16,2003-10-17,2003-10-20,2003-10-21,2003-10-22,2003-10-23,2003-10-24,2003-10-27,2003-10-28,2003-10-29,2003-10-30,2003-10-31,2003-11-03,2003-11-04,2003-11-05,2003-11-06,2003-11-07,2003-11-10,2003-11-11,2003-11-12,2003-11-13,2003-11-14,2003-11-17,2003-11-18,2003-11-19,2003-11-20,2003-11-21,2003-11-24,2003-11-25,2003-11-26,2003-11-28,2003-12-01,2003-12-02,2003-12-03,2003-12-04,2003-12-05,2003-12-08,2003-12-09,2003-12-10,2003-12-11,2003-12-12,2003-12-15,2003-12-16,2003-12-17,2003-12-18"
2005,2005Q1,https://www.sec.gov/Archives/edgar/data/1011657/000101165706000010/0001011657-06-000010.txt,2546cf044c0ec074a43dc33358b61d6570cf37acf304aa9d0fd0fd02b3aa918a,2,10.13,5.83,10.125,5.875,-0.005,0.045,0.011,61,60,PARTIAL,False,False,2005-03-14
2005,2005Q2,https://www.sec.gov/Archives/edgar/data/1011657/000101165706000010/0001011657-06-000010.txt,2546cf044c0ec074a43dc33358b61d6570cf37acf304aa9d0fd0fd02b3aa918a,2,14.38,7.76,14.375,7.8126001358,-0.005,0.0526001358032,0.011,64,64,COMPLETE,False,False,
