signal_date,execution_date,ticker,side,quantity,price,notional,cost,reason,event_type,realized_pnl
2005-01-03,2005-01-04,ADBE,buy,213.83527449604318,31.09889880624707,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,ADSK,buy,177.56793911422835,37.45068842906704,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,AMD,buy,309.5922581228399,21.479999542236328,6650.041562758512,16.62510390689628,rebalance,rebalance,0.0
2005-01-03,2005-01-04,CACI,buy,101.18748385938275,65.72000122070312,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,CTSH,buy,727.1444096146729,9.145420737378,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,FFIV,buy,281.84114245744723,23.594999313354492,6650.0415627585135,16.625103906896285,rebalance,rebalance,0.0
2005-01-03,2005-01-04,GEN,buy,710.8701499530636,9.354790833737487,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,MRVL,buy,455.95221455023085,14.584952875639335,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NTAP,buy,278.2944364144663,23.895704306695333,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,ORCL,buy,622.2457668121729,10.687162400199746,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,QCOM,buy,250.60252531717228,26.536211294526908,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,STX,buy,785.7662543472525,8.46312949425755,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,SWKS,buy,936.8780749487236,7.098086443235933,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,VRSN,buy,244.88763575118878,27.15548109384788,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-01-03,2005-01-04,WDC,buy,1021.2757113891062,6.51150466871805,6650.041562758513,16.625103906896282,rebalance,rebalance,0.0
2005-02-01,2005-02-02,ADBE,sell,44.925550649573296,29.844145164127408,1340.7646551642238,3.3519116379105593,rebalance,rebalance,-63.21524782335898
2005-02-01,2005-02-02,ADSK,sell,3.4116429337523186,28.945070770699143,98.7502461618165,0.24687561540454128,rebalance,rebalance,-29.584426938132292
2005-02-01,2005-02-02,AMD,sell,1.840940883407427,16.3799991607666,30.15461012523458,0.07538652531308646,rebalance,rebalance,-9.563044256286364
2005-02-01,2005-02-02,CACI,sell,5.333399366502974,52.59000015258789,280.4834734982035,0.7012086837455088,rebalance,rebalance,-71.6050255948073
