signal_date,execution_date,ticker,side,quantity,price,notional,cost,reason,event_type,realized_pnl
2005-01-03,2005-01-04,AAPL,buy,6981.3763321931765,0.9539675764637918,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,ADBE,buy,214.1557069752629,31.09889880624707,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,ADSK,buy,177.83402493703937,37.45068842906704,6660.006660004,6.660006660004,rebalance,rebalance,0.0
2005-01-03,2005-01-04,AMD,buy,310.0561825854962,21.479999542236328,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,BEN,buy,586.6698497684582,11.35222248532546,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,GEN,buy,711.9350879712646,9.354794801563166,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,HUM,buy,260.42523823742494,25.57358382420752,6660.006660004,6.660006660004,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NSC,buy,303.0498784737055,21.976602312288552,6660.006660004002,6.660006660004002,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NTAP,buy,278.7114841766917,23.8957023234171,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,NUE,buy,484.01180687510515,13.760008672107777,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,PCAR,buy,575.0327384377794,11.581960842955793,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,PH,buy,190.28404664814596,35.00034173815429,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,QLGC,buy,360.68273273782836,18.465,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,UNH,buy,200.57726931396863,33.204194487157594,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-01-03,2005-01-04,X,buy,153.90965292565187,43.27218295542,6660.006660004001,6.660006660004001,rebalance,rebalance,0.0
2005-02-01,2005-02-02,AAPL,sell,2135.379321921363,1.1657276406827075,2489.2706989060302,2.4892706989060303,rebalance,rebalance,447.66170900634245
2005-02-01,2005-02-02,ADBE,sell,24.868574424727143,29.844145164127408,742.1813451564631,0.7421813451564631,rebalance,rebalance,-32.71950095839684
2005-02-01,2005-02-02,BEN,sell,77.40210454739338,11.092618204373865,858.5919939592649,0.8585919939592649,rebalance,rebalance,-21.831195600779807
2005-02-01,2005-02-02,GEN,sell,711.9350879712646,8.289417771887013,5901.527370658945,5.901527370658945,rebalance,rebalance,-771.0408233757183
2005-02-01,2005-02-02,HUM,sell,75.01885016558495,30.46881350900777,2285.7353553554044,2.2857353553554045,rebalance,rebalance,363.03026604169304
2005-02-01,2005-02-02,NSC,sell,303.0498784737055,21.71048684119693,6579.360398829712,6.579360398829712,rebalance,rebalance,-93.8856282331223
2005-02-01,2005-02-02,NTAP,sell,39.37223798080166,23.6029516735255,929.3010303394067,0.9293010303394067,rebalance,rebalance,-13.396376565501786
2005-02-01,2005-02-02,NUE,sell,484.01180687510515,15.344346817807494,7426.845028605276,7.426845028605276,rebalance,rebalance,752.7515169126656
2005-02-01,2005-02-02,PCAR,sell,575.0327384377794,10.13764961219941,5829.480417825719,5.829480417825719,rebalance,rebalance,-843.0157292561111
2005-02-01,2005-02-02,PH,sell,190.28404664814596,30.70208364344281,5842.11671620415,5.84211671620415,rebalance,rebalance,-830.3920671760574
2005-02-01,2005-02-02,QLGC,sell,77.23503271075282,19.93,1539.2942019253037,1.5392942019253038,rebalance,rebalance,110.18388384032359
2005-02-01,2005-02-02,UNH,sell,200.57726931396863,34.62285502142428,6944.557716050708,6.944557716050708,rebalance,rebalance,270.94649167065336
2005-02-01,2005-02-02,X,sell,153.90965292565187,46.062507956639,7089.464612491387,7.089464612491387,rebalance,rebalance,415.7084812148916
2005-02-01,2005-02-02,ADSK,buy,17.33263077064558,28.945070770699143,501.6942242987339,0.5016942242987339,rebalance,rebalance,0.0
2005-02-01,2005-02-02,AMD,buy,34.822507950116176,16.3799991607666,570.3926509986912,0.5703926509986913,rebalance,rebalance,0.0
2005-02-01,2005-02-02,CTXS,buy,320.46315342953835,17.627963156087805,5649.112661539615,5.649112661539616,rebalance,rebalance,0.0
2005-02-01,2005-02-02,EBAY,buy,387.6811358367515,14.571543826466703,5649.112661539615,5.649112661539616,rebalance,rebalance,0.0
2005-02-01,2005-02-02,MON,buy,248.2659048111213,22.754283016983,5649.112661539615,5.649112661539616,rebalance,rebalance,0.0
2005-02-01,2005-02-02,MWW,buy,191.88562029686193,29.44,5649.112661539615,5.649112661539616,rebalance,rebalance,0.0
